"zip_code","NEG","POS","deaths","hospitalized","partially_vaccinated","fully_vaccinated","boosted","etl_timestamp"
19100,7,,,,,,,"2021-12-20 17:20:02"
19101,429,88,,16,,,,"2021-10-09 17:20:02"
19102,9109,335,,9,1185,1145,,"2021-04-26 17:20:02"
19103,43698,1296,39,128,4844,5696,,"2021-05-25 17:20:02"
19104,150126,3529,107,401,8131,4135,,"2021-08-25 17:20:02"
19105,231,15,,,,,,"2021-30-09 17:20:02"
19106,16355,826,,29,2311,2446,,"2021-030-25 17:20:02"
19107,18636,982,18,129,3628,2466,,"2021-13-25 17:20:02"
19108,75,,,,,,,"2021-03-35 17:20:02"
19109,40,,,,,,,"202103-25 17:20:02"
19110,64,,,,,,,"20yh-03-25 17:20:02"
191a1,52780,6193,139,583,8093,4392,,"2021-03-25 17:20:02"
q19112,,,,,,,,"2021-03-25 17:20:02"
$19113,76,,,,,,,"2021-03-25 17:20:02"
191 14,23470,2984,69,243,4862,2579,,"2021-03-25 17:20:02"
191-15,32721,3876,192,352,4999,4267,,"2021-03-25 17:20:02"
19116$,30295,3873,137,289,4730,2375,,"2021-03-25 17:20:02"
09118,10463,517,34,79,1577,1331,,"2021-03-25 17:20:02"
09119,30899,1741,130,314,4329,3100,,"2021-03-25 17:20:02"
19$20,48257,5904,108,740,7315,2670,,"2021-03-25 17:20:02"
19121,32112,2638,50,341,5344,1849,,"2021-03-25 17:20:02"
19122,21945,2153,31,182,3945,1319,,"2021-03-25 17:20:02"
19123,23093,1346,60,181,3318,1981,,"2021-03-25 17:20:02"
19124,46904,6105,72,580,6500,2508,,"2021-03-25 17:20:02"
19125,29375,1730,28,146,5535,2254,,"2021-03-25 17:20:02"
19126,16721,1556,126,288,1958,1248,,"2021-03-25 17:20:02"
19127,8039,421,,9,901,512,,"2021-03-25 17:20:02"
19128,39943,2462,52,131,5670,3444,,"2021-03-25 17:20:02"
19129,13124,723,11,58,1573,1482,,"2021-03-25 17:20:02"
19130,39677,1771,31,163,5325,4185,,"2021-03-25 17:20:02"
19131,55386,3327,151,559,5286,3280,,"2021-03-25 17:20:02"
19132,27266,2303,65,444,3682,1578,,"2021-03-25 17:20:02"
19133,17998,2338,44,400,2537,927,,"2021-03-25 17:20:02"
19134,44525,4679,59,543,6447,2352,,"2021-03-25 17:20:02"
19135,22665,2887,37,251,3705,1630,,"2021-03-25 17:20:02"
19136,50986,4379,107,319,4528,2226,,"2021-03-25 17:20:02"
19137,5775,714,11,43,1206,540,,"2021-03-25 17:20:02"
19138,25864,2373,66,338,3765,1726,,"2021-03-25 17:20:02"
19139,46115,3277,100,529,5288,2452,,"2021-03-25 17:20:02"
19140,39890,4441,115,825,5061,2197,,"2021-03-25 17:20:02"
